0,0
10000,19.1129
20000,19.0358
30000,18.9191
40000,19.2966
50000,18.7435
60000,21.0102
70000,21.7243
80000,20.8664
90000,19.3517
100000,20.5089
110000,20.8197
120000,21.9942
130000,22.2568
140000,24.3926
150000,24.9494
160000,24.2733
170000,25.2254
180000,24.9377
190000,24.8037
200000,25.6345
210000,26.9344
220000,26.1498
230000,26.1857
240000,26.9503
250000,28.0408
260000,26.7224
270000,27.2489
280000,28.4753
290000,27.5753
300000,28.4921
310000,28.1943
320000,28.7990
330000,29.5362
340000,29.2511
350000,29.7926
360000,30.2957
370000,31.6662
380000,29.5926
390000,32.8040
400000,33.1539
410000,33.8936
420000,35.1902
430000,35.2199
440000,36.3059
450000,34.7922
460000,36.5593
470000,37.6769
480000,37.2606
490000,39.1882
500000,39.2110
510000,38.2769
520000,37.2580
530000,36.2833
540000,38.7810
550000,38.3033
560000,39.4320
570000,40.9230
580000,39.6223
590000,38.7775
600000,43.0149
610000,40.6121
620000,38.6445
630000,42.7645
640000,40.5410
650000,40.4858
660000,40.8439
670000,41.1677
680000,41.1621
690000,42.1557
700000,42.8162
710000,46.2318
720000,47.0594
730000,48.8947
740000,51.4882
750000,54.4716
760000,56.1468
770000,57.6670
780000,58.5620
790000,61.4755
800000,64.3645
810000,66.1383
820000,63.7633
830000,64.4587
840000,64.4899
850000,65.7938
860000,67.3327
870000,69.9832
880000,72.6090
890000,75.2530
900000,78.9832
910000,79.3613
920000,79.4275
930000,80.5428
940000,78.5820
950000,71.8450
960000,71.6649
970000,71.9750
980000,72.3657
990000,72.6910
1000000,73.1337
